state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,2/7/21,Buds,0,791884.74,791884.74
MA,11/14/20,Concentrate (Each),220143.64,0,220143.64
MA,12/4/18,Concentrate (Each),90155.7,0,90155.7
MA,5/25/19,Kief,0,1506,1506
MA,8/22/19,Kief,0,666.66,666.66
MA,8/26/19,Kief,0,654.58,654.58
MA,2/14/19,Concentrate (Each),197063.23,0,197063.23
MA,4/18/19,Infused (edible),168505.38,0,168505.38
MA,8/11/20,Infused (edible),284551.17,0,284551.17
MA,2/6/19,Infused (edible),62698.87,0,62698.87
MA,12/28/19,Kief,0,2831.5,2831.5
MA,4/3/19,Concentrate (Each),296099.82,0,296099.82
MA,2/1/21,Raw Pre-Rolls,0,208012.6,208012.6
MA,6/24/20,Shake/Trim (by strain),0,7933.14,7933.14
MA,8/24/20,Infused (non-edible),11948.58,0,11948.58
MA,1/18/19,Infused (edible),72431.7,0,72431.7
MA,5/24/21,Concentrate,0,8257.84,8257.84
MA,7/6/20,Concentrate (Each),133815.78,0,133815.78
MA,8/2/19,Raw Pre-Rolls,0,73897.74,73897.74
MA,2/19/20,Infused Pre-Rolls,0,11130.73,11130.73
MA,12/27/18,Concentrate (Each),231702.81,0,231702.81
MA,4/9/19,Infused Pre-Rolls,0,180,180
MA,9/29/20,Vape Product,384242.53,0,384242.53
MA,3/31/21,Shake/Trim (by strain),0,31936.39,31936.39
MA,3/31/21,Infused (non-edible),9117.93,0,9117.93
MA,3/10/20,Infused (non-edible),7252.18,0,7252.18
MA,6/3/20,Vape Product,276774.59,0,276774.59
MA,3/15/21,Concentrate,0,33637.85,33637.85
MA,9/12/19,Raw Pre-Rolls,0,77597.46,77597.46
MA,5/30/19,Concentrate (Each),365192.99,300,365492.99
MA,6/28/20,Infused Pre-Rolls,0,8876.05,8876.05
MA,10/13/19,Kief,0,1764.9,1764.9
MA,1/13/21,Buds,0,1252371.97,1252371.97
MA,7/10/20,Shake/Trim (by strain),0,8766.4,8766.4
MA,9/24/20,Concentrate (Each),155880.87,0,155880.87
MA,10/9/20,Concentrate,0,37658.87,37658.87
MA,10/6/20,Concentrate,0,24157.13,24157.13
MA,1/19/19,Concentrate (Each),245231.5,0,245231.5
MA,5/20/19,Infused (edible),130836.23,0,130836.23
MA,9/23/19,Shake/Trim (by strain),0,7122.6,7122.6
MA,7/16/20,Shake/Trim,0,3151.03,3151.03
MA,9/3/19,Concentrate,0,7831,7831
MA,10/20/19,Raw Pre-Rolls,0,93598.24,93598.24
MA,2/10/21,Concentrate (Each),171410.11,0,171410.11
MA,12/1/20,Shake/Trim,0,705,705
MA,12/17/19,Concentrate,0,11723,11723
MA,1/21/20,Raw Pre-Rolls,0,141415.01,141415.01
MA,5/7/21,Buds,0,1865305.4,1865305.4
MA,11/3/19,Concentrate,0,25914,25914
MA,10/4/20,Infused Pre-Rolls,0,8096.27,8096.27
MA,9/24/20,Kief,0,4779.34,4779.34
MA,5/4/21,Infused (edible),379647.68,0,379647.68
MA,5/3/19,Concentrate (Each),478081.39,660,478741.39
MA,4/27/19,Raw Pre-Rolls,1638,15742.86,17380.86
MA,6/2/20,Infused (edible),230190.45,0,230190.45
MA,12/26/20,Shake/Trim (by strain),0,17246.96,17246.96
MA,3/19/21,Shake/Trim (by strain),0,31221.76,31221.76
MA,4/4/21,Concentrate,0,13273.31,13273.31
MA,6/9/20,Infused Pre-Rolls,0,10610.48,10610.48
